Document Text,year,location
"
History



Acts 2019, No. 910, §  2411.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2019,Arkansas
"
History



Acts 2015, No. 1275, §  1; 2017, No. 271, § 4; 2019, No. 315, § 1010.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2015,Arkansas
"
History



Acts 1993, No. 1119, § 2; 1995, No. 1160, § 41; 2019, No. 910, § 4302.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1993,Arkansas
"
History



Acts 2013, No. 1074, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 1955, No. 98, § 4; 1963, No. 78, §§ 1, 2; 1967, No. 109, § 1; 1973, No. 153, § 1; 1977, No. 431, § 1; 1983, No. 7, § 2; A.S.A. 1947, § 75-816; Acts 1992 (1st Ex. Sess.), No. 68, § 4; 1992 (1st Ex. Sess.), No. 69, § 4; 1993, No. 1021, § 1; 1997, No. 307, § 1; 2001, No. 1483, § 1; 2003, No. 331, § 1; 2003, No. 850, § 1; 2017, No. 619, §§ 3, 4; 2019, No. 315, § 3137.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1955,Arkansas
"
History



Acts 1981, No. 319, § 6; A.S.A. 1947, § 53-138; Acts 2019, No. 315, § 1228; 2019, No. 910, § 3174.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1981,Arkansas
"
History



Acts 2005, No. 542, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2005,Arkansas
"
History



Acts 2013, No. 1074, §  1; 2015, No. 1162, § 3.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 2003, No. 366, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2003,Arkansas
"
History



Acts 2015, No. 1275, §  1; 2017, No. 271, § 3; 2019, No. 315, § 1008.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2015,Arkansas
"
History



Acts 2019, No. 910, §  2411; 2023, No. 697, § 21.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2019,Arkansas
"
History



Acts 1981, No. 53, § 10; A.S.A. 1947, § 13-2410.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1981,Arkansas
"
History



Acts 2019, No. 910, §  2411; 2021, No. 413, § 5.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2019,Arkansas
"
History



Acts 1981, No. 53, § 6; A.S.A. 1947, § 13-2406.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1981,Arkansas
"
History



Acts 1949, No. 472, [Part 1], § 3; A.S.A. 1947, § 82-1904; Acts 1993, No. 163, § 11; 1993, No. 165, § 11; 1997, No. 1219, § 5; 1999, No. 1164, § 19; 2019, No. 315, §§ 457, 458; 2019, No. 910, §§ 2480-2483.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1949,Arkansas
"
History



Acts 2019, No. 416, § 6.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2019,Arkansas
"
History



Acts 1979, No. 8, § 4; A.S.A. 1947, § 4-1204; Acts 1997, No. 1354, § 20.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1979,Arkansas
"
History



Acts 2013, No. 554, § 7; 2013, No. 1252, § 6.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2013,Arkansas
"
History



Acts 1973, No. 750, § 6; 1975, No. 868, §§ 4-7; 1977, No. 955, §§ 7-11; 1979, No. 1115, §§ 2, 9; 1981, No. 938, §§ 4-6; 1983, No. 801, § 9; 1985, No. 888, § 7; A.S.A. 1947, § 13-521; Acts 1989, No. 629, §§ 2, 3, 9; 1993, No. 324, § 3; 1993, No. 728, § 40; 1993, No. 911, § 10; 1993, No. 953, § 16; 1993, No. 1073, § 1; 1995, No. 158, § 22; 1995, No. 455, § 1; 1995, No. 1163, §§ 3-5, 28, 29; 1997, No. 156, § 3; 1997, No. 540, § 41; 1997, No. 1248, §§ 4, 5; 1999, No. 646, § 57; 1999, No. 935, § 6; 1999, No. 1164, § 157; 1999, No. 1323, § 48; 1999, No. 1463, §§ 2, 29; 1999, No. 1508, § 8; 2001, No. 577, § 2; 2001, No. 1646, §§ 2, 20; 2001, No. 1800, § 3; 2003 (1st Ex. Sess.), No. 25, § 15; 2003 (1st Ex. Sess.), No. 55, § 24; 2005, No. 2282, § 9; 2005, No. 2316, § 9; 2007, No. 1032, §§ 2, 3; 2007, No. 1201, §§ 2, 3; 2010, No. 297, § 3; 2011, No. 856, § 2; 2011, No. 1095, § 1; 2011, No. 1115, § 1; 2015, No. 1144, §§ 3, 4; 2015, No. 1145, §§ 3, 4; 2016, No. 242, § 2; 2016, No. 270, § 2; 2016 (3rd Ex. Sess.), No. 2, § 124; 2016 (3rd Ex. Sess.), No. 3, § 124; 2017, No. 707, §  49; 2017, No. 1083, §§ 2, 3; 2017, No. 1127, §§ 2, 3; 2019, No. 755, § 8; 2019, No. 873, § 23; 2019, No. 910, §§ 977-984; 2019, No. 1091, § 4; 2023, No. 539, §  3; 2023, No. 659, §  239.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1981,Arkansas
"
History



Acts 2013, No. 1074, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 2003 (2nd Ex. Sess.), No. 90, § 2; 2005, No. 1327, § 1; 2007, No. 751, § 2; 2007, No. 989, § 16; 2007, No. 1580, § 1; 2009, No. 1473, § 14; 2009, No. 1475, § 1; 2015, No. 722, § 1; 2015 (1st Ex. Sess.), No. 7, § 2; 2015 (1st Ex. Sess.), No. 8, § 2; 2019, No. 757, § 51; 2019, No. 910, §§ 1720, 1721; 2023, No. 365, §§ 7-10.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2003,Arkansas
"
History



Acts 1985, No. 1062, § 3.00; A.S.A. 1947, § 13-2903; Acts 1987, No. 780, § 1; 1989, No. 836, §§ 1-3; 1995, No. 1117, § 1; 1999, No. 429, §§ 1, 2; 2001, No. 1734, §§ 1-3; 2001, No. 1791, § 10; 2003, No. 494, § 1; 2005, No. 1232, § 6; 2013, No. 1252, § 2; 2017, No. 374, § 15.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1985,Arkansas
"
History



Acts 2019, No. 910, §  2.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2019,Arkansas
"
History



Acts 2013, No. 280, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 2009, No. 1494, § 1; 2019, No. 674, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2009,Arkansas
"
History



Acts 2023, No. 411, §  1; 2023, No. 760, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2023,Arkansas
"
History



Acts 2013, No. 1074, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 2009, No. 661, § 1; 2019, No. 315, § 1091.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2009,Arkansas
"
History



Acts 1987, No. 796, § 2.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1987,Arkansas
"
History



Acts 2013, No. 554, § 7; 2017, No. 271, § 15; 2019, No. 315, § 1800; 2019, No. 910, §  3208.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 1979, No. 8, § 4; A.S.A. 1947, § 4-1204; Acts 1997, No. 1354, § 20.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1979,Arkansas
"
History



Acts 1975, No. 142, § 3; 1977, No. 446, § 1; 1981, No. 52, § 2; 1981, No. 231, § 2; 1981, No. 703, § 1; 1981, No. 827, § 2; 1981 (Ex. Sess.), No. 18, § 2; 1981 (Ex. Sess.), No. 23, § 8(a); A.S.A. 1947, § 20-1703; Acts 1989, No. 55, § 2.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1975,Arkansas
"
History



Acts 2005, No. 1761, § 1; 2013, No. 554, §§ 2-4; 2017, No. 271, § 14; 2019, No. 507, § 3.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2005,Arkansas
"
History



Acts 2005, No. 1761, § 1; 2013, No. 554, § 5.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2005,Arkansas
"
History



Acts 1973, No. 164, § 7; 1977, No. 866, § 1; A.S.A. 1947, § 73-276.6; Acts 2009, No. 752, § 1; 2011, No. 910, § 8.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1973,Arkansas
"
History



Acts 2013, No. 1074, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 2023, No. 693, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2023,Arkansas
"
History



Acts 2005, No. 1761, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2005,Arkansas
"
History



Acts 2021, No. 781, § 3.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2021,Arkansas
"
History



Acts 1985, No. 974, § 2; A.S.A. 1947, § 13-1262; Acts 1987, No. 58, § 1; 1987, No. 369, § 1; 1997, No. 208, § 12; 1997, No. 1130, § 1; 2005, No. 1551, § 7; 2005, No. 1980, § 1; 2011, No. 897, § 11; 2019, No. 383, §§ 18, 19; 2019, No. 703, § 3; 2019, No. 1090, §§ 1-3.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1985,Arkansas
"
History



Acts 2015, No. 1275, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2015,Arkansas
"
History



Acts 1937, No. 342, § 25; Pope's Dig., § 2339; A.S.A. 1947, § 77-1125; Acts 2003, No. 334, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1937,Arkansas
"
History



Acts 2013, No. 1078, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 2013, No. 1074, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 2015, No. 1275, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2015,Arkansas
"
History



Acts 1973, No. 164, § 15; 1977, No. 866, § 1; A.S.A. 1947, § 73-276.14; Acts 2019, No. 315, §§ 2483, 2484.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1973,Arkansas
"
History



Acts 2009, No. 1494, § 1; 2011, No. 803, § 1; 2017, No. 271, § 16; 2019, No. 674, § 3; 2019, No. 910, § 3228.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2009,Arkansas
"
History



Acts 1957, No. 386, § 1; A.S.A. 1947, § 82-1401; Acts 2019, No. 315, § 1095.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1957,Arkansas
"
History



Acts 1985, No. 1062, §§ 4.00, 5.00; 1986 (2nd Ex. Sess.), No. 18, § 1; A.S.A. 1947, §§ 13-2904, 13-2905; Acts 1987, No. 900, §§ 2-4; 1989, No. 836, § 4; 2001, No. 1044, § 6; 2003, No. 494, § 2; 2007, No. 593, § 1; 2013, No. 1252, § 3; 2015, No. 1060, §§ 4-6; 2017, No. 824, §§ 3-9; 2019, No. 910, § 438.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1985,Arkansas
"
History



Acts 1997, No. 962, § 4; 2001, No. 1717, § 1; 2003 (2nd Ex. Sess.), No. 58, § 3; 2005, No. 2156, § 3; 2007, No. 659, § 1; 2019, No. 507, §§ 1, 2.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1997,Arkansas
"
History



Acts 2015, No. 1275, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2015,Arkansas
"
History



Acts 2009, No. 1494, § 1; 2017, No. 271, § 23; 2019, No. 256, § 7; 2019, No. 674, § 10; 2019, No. 910, § 3235.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2009,Arkansas
"
History



Acts 2019, No. 416, § 7; 2021, No. 328, § 1; 2021, No. 376, § 2; 2021, No. 1093, § 1; 2023, No. 211, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2019,Arkansas
"
History



Acts 1961 (2nd Ex. Sess.), No. 8, § 3; 1983, No. 19, §§ 3, 4; A.S.A. 1947, § 82-1514; Acts 1987, No. 504, § 1; 1995, No. 796, § 1; 2019, No. 315, § 2003­2009; 2019, No. 389, §§ 36­38; 2019, No. 910, § 5018; 2021, No. 268, § 2.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1961,Arkansas
"
History



Acts 1991, No. 749, § 1; 2001, No. 94, § 1; 2019, No. 315, § 682; 2019, No. 910, § 2854.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1991,Arkansas
"
History



Acts 2009, No. 1494, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2009,Arkansas
"
History



Acts 2019, No. 464, § 3; 2023, No. 278, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2019,Arkansas
"
History



Acts 1979, No. 699, § 6; 1985, No. 678, § 4; A.S.A. 1947, § 82-2736; Acts 2003, No. 342, § 1; 2021, No. 677, § 2.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1979,Arkansas
"
History



Acts 1939, No. 194, § 3; 1949, No. 150, § 2; 1969, No. 76, § 1; 1977, No. 494, § 1; 1981, No. 550, § 1; 1983, No. 438, § 1; 1985, No. 223, § 1; A.S.A. 1947, § 80-1003; Acts 1989, No. 105, §§ 2, 3; 1991, No. 401, § 15; 1993, No. 314, § 2; 1995, No. 233, § 11; 1997, No. 962, §§ 2, 3; 1997, No. 1265, § 1; 1997, No. 1329, § 2; 2001, No. 1220, §§ 8-10; 2003, No. 840, § 1; 2003, No. 1754, §§ 1, 2; 2003 (2nd Ex. Sess.), No. 58, §§ 1, 2; 2005, No. 1866, § 1; 2005, No. 2005, § 1; 2005, No. 2121, §§ 12, 23; 2005, No. 2156, § 2; 2005, No. 2177, § 1; 2006 (1st Ex. Sess.), No. 22, §§ 1-3; 2006 (1st Ex. Sess.), No. 23, §§ 1-3; 2007, No. 827, §§ 114, 115; 2009, No. 1469, § 9; 2013, No. 1073, § 32; 2015, No. 846, § 10; 2017, No. 741, § 4; 2019, No. 315, § 273; 2019, No. 910, §§  1593-1597.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1939,Arkansas
"
History



Acts 1987, No. 110, § 3.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1987,Arkansas
"
History



Acts 2009, No. 1494, § 1; 2017, No. 271, § 22; 2019, No. 315, §§ 2363, 2364; 2019, No. 674, § 9; 2019, No. 910, § 3234.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2009,Arkansas
"
History



Acts 2015, No. 1275, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2015,Arkansas
"
History



Acts 1961, No. 429, § 3; A.S.A. 1947, § 9-1103.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1961,Arkansas
"
History



Acts 2021, No. 308, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2021,Arkansas
"
History



Acts 2009, No. 1494, § 1; 2017, No. 271, § 21; 2019, No. 674, § 8; 2019, No. 910, § 3233.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2009,Arkansas
"
History



Acts 1981, No. 53, § 9; A.S.A. 1947, § 13-2409.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1981,Arkansas
"
History



Acts 2005, No. 1770, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2005,Arkansas
"
History



Acts 1993, No. 951, § 8; 2019, No. 693, § 24; 2019, No. 910, § 2826.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1993,Arkansas
"
History



Acts 2015, No. 1275, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2015,Arkansas
"
History



Acts 1945, No. 40, § 3; 1949, No. 262, § 7; A.S.A. 1947, § 73-248; Acts 1987, No. 831, § 1; 2017, No. 707, § 106.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1945,Arkansas
"
History



Acts 1981, No. 53, § 5; A.S.A. 1947, § 13-2405.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1981,Arkansas
"
History



Acts 2005, No. 660, § 1; 2013, No. 1138, § 27; 2019, No. 910, §§ 1323-1326.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2005,Arkansas
"
History



Acts 1999, No. 1323, § 58; 2001, No. 1288, § 25; 2009, No. 787, § 3; 2011, No. 1122, § 6; 2015, No. 892, § 5; 2019, No. 369, § 5; 2019, No. 910, §§ 623, 624; 2019, No. 1079, § 2; 2023, No. 648, §§ 1, 2; 2023, No. 786, § 56.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1999,Arkansas
"
History



Acts 1973, No. 876, § 12; 1977, No. 813, § 1; 1979, No. 833, §§ 1, 2; 1981, No. 741, § 1; 1981, No. 924, § 1; 1983, No. 628, § 1; 1985, No. 365, §§ 2, 3, 12; A.S.A. 1947, § 13-338; Acts 1987, No. 646, § 2; 1997, No. 342, § 40; 1997, No. 1211, § 29; 2001, No. 163, § 1; 2001, No. 1453, § 11; 2013, No. 554, § 1; 2013, No. 1252, § 5; 2019, No. 315, § 1710; 2019, No. 910, §§  6080, 6081.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1973,Arkansas
"
History



Acts 2021, No. 694, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2021,Arkansas
"
History



Acts 1945, No. 40, § 3; A.S.A. 1947, §§ 73-249, 73-250; Acts 1987, No. 831, § 2; 2017, No. 707, § 107.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1945,Arkansas
"
History



Acts 2005, No. 2247, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2005,Arkansas
"
History



Acts 1957, No. 386, § 4; A.S.A. 1947, § 82-1404; Acts 1997, No. 540, § 37; 2019, No. 315, § 1097.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1957,Arkansas
"
History



Acts 1989, No. 172, § 2; 1991, No. 594, § 1; 1993, No. 810, § 2; 2005, No. 671, § 1; 2007, No. 264, § 2; 2019, No. 315, §§ 644, 645; 2019, No. 910, §§ 2782­2786; 2023, No. 841, § 7.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1989,Arkansas
"
History



Acts 1961, No. 429, § 2; 1979, No. 1112, § 2; A.S.A. 1947, § 9-1102; Acts 1997, No. 1357, § 2; 2013, No. 1287, § 3.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1961,Arkansas
"
History



Acts 1981, No. 53, § 6; A.S.A. 1947, § 13-2406.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1981,Arkansas
"
History



Acts 1975, No. 389, § 4; A.S.A. 1947, § 77-254; Acts 1995, No. 85, § 1; 1995, No. 110, § 1; 2019, No. 389, § 35.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1975,Arkansas
"Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",Repealed,Arkansas
"
History



Acts 2007, No. 1597, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2007,Arkansas
"
History



Acts 1961, No. 429, § 1; 1967, No. 236, § 1; 1979, No. 1112, § 1; A.S.A. 1947, § 9-1101.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1961,Arkansas
"
History



Acts 1977, No. 647, §§ 1, 2; A.S.A. 1947, §§ 53-614, 53-615.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1977,Arkansas
"
History



Acts 2013, No. 1074, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 2023, No. 411, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2023,Arkansas
"
History



Acts 2021, No. 594, §  4; 2023, No. 845, §§ 2-5.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2021,Arkansas
"
History



Acts 2019, No. 416, § 6.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2019,Arkansas
"
History



Acts 1987, No. 328, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1987,Arkansas
"
History



Acts 2013, No. 1074, §  1; 2015, No. 1162, § 8.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 1935, No. 324, § 58; Pope's Dig., § 2118; A.S.A. 1947, § 73-254; Acts 2015, No. 899, § 1; 2019, No. 315, § 2378.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1935,Arkansas
"
History



Acts 1957, No. 386, § 5; A.S.A. 1947, § 82-1405.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1957,Arkansas
"
History



Acts 2023, No. 259, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2023,Arkansas
"
History



Acts 2019, No. 416, § 7; 2021, No. 328, § 1; 2021, No. 1093, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2019,Arkansas
"
History



Acts 1979, No. 937, § 2; A.S.A. 1947, § 53-1302; Acts 2015, No. 89, § 1; 2017, No. 374, § 43.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1979,Arkansas
"Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1977,Arkansas
"Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",Repealed,Arkansas
"
History



Acts 2023, No. 504, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2023,Arkansas
"
History



Acts 2015, No. 1275, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2015,Arkansas
"
History



Acts 1971, No. 237, § 3; A.S.A. 1947, § 82-2703; Acts 1991, No. 751, §§ 1, 2; 1995, No. 547, § 1; 1999, No. 1164, § 61; 2011, No. 1153, § 1; 2013, No. 1127, §§ 5, 6; 2019, No. 910, §§ 2589, 2590; 2019, No. 1067, § 2; 2021, No. 74, §§ 1, 2; 2021, No. 1095, §§ 2, 3.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1971,Arkansas
"
History



Acts 1909, No. 348, § 4, p. 1020; C. & M. Dig., § 4975; Pope's Dig., § 12224; A.S.A. 1947, § 9-401.1; Acts 2019, No. 910, § 3069; 2023, No. 697, § 6.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1909,Arkansas
"
History



Acts 1981, No. 53, § 14; A.S.A. 1947, § 13-2414.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1981,Arkansas
"
History



Acts 1981, No. 7, § 1; A.S.A. 1947, § 5-936.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1981,Arkansas
"
History



Acts 2007, No. 755, § 1; 2011, No. 735, § 2.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2007,Arkansas
"
History



Acts 1981, No. 53, § 4; A.S.A. 1947, § 13-2404.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1981,Arkansas
"
History



Acts 2013, No. 1074, §  1; 2015, No. 1162, § 2.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 2013, No. 532, § 2; 2017, No. 271, § 13; 2017, No. 851, § 11; 2019, No. 910, § 3204.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2013,Arkansas
"
History



Acts 2013, No. 1074, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
