Statute,Document Link,state
Section 3.801,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-3-801&highlight=energy&queryID=170095218,Michigan
Section 206.527a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-206-527a&highlight=energy&queryID=170095218,Michigan
Section 460.1203,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1203&highlight=energy&queryID=170095218,Michigan
Section 389.121,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-389-121&highlight=energy&queryID=170095218,Michigan
Section 388.1812,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-388-1812&highlight=energy&queryID=170095218,Michigan
Section 290.649g,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-290-649g&highlight=energy&queryID=170095218,Michigan
Section 408.917,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-408-917&highlight=energy&queryID=170095218,Michigan
Section 484.2316,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-484-2316&highlight=energy&queryID=170095218,Michigan
Section 208.1429,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-208-1429&highlight=energy&queryID=170095218,Michigan
Section 290.641,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-290-641&highlight=energy&queryID=170095218,Michigan
Section 125.2232,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-2232&highlight=energy&queryID=170095218,Michigan
Section 460.1033,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1033&highlight=energy&queryID=170095218,Michigan
Act 238 of 1923,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-Act-238-of-1923&highlight=energy&queryID=170095218,Michigan
Section 560.102,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-560-102&highlight=energy&queryID=170095218,Michigan
Section 290.649l,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-290-649l&highlight=energy&queryID=170095218,Michigan
